province,city,area,population,lng,lat
山西省,大同市,阳高县,191981,113.748944,40.361059
山西省,大同市,天镇县,160691,114.090871,40.420870
山西省,大同市,广灵县,154253,114.282703,39.760404
山西省,大同市,灵丘县,212771,114.234452,39.442459
山西省,大同市,浑源县,237749,113.691830,39.706485
山西省,大同市,左云县,117943,112.703008,40.013442
山西省,阳泉市,城区,225443,113.600694,37.847457
山西省,阳泉市,矿区,230691,113.555279,37.868494
山西省,阳泉市,郊区,275094,113.593998,37.943703
山西省,阳泉市,平定县,306228,113.629777,37.804986
山西省,阳泉市,盂县,281049,113.412279,38.086041
山西省,长治市,潞州区,895280,113.122725,36.203305
山西省,长治市,上党区,319660,113.051416,36.053104
山西省,长治市,屯留区,253756,112.892301,36.316200
山西省,长治市,潞城区,219256,113.228897,36.334597
山西省,长治市,襄垣县,260081,113.051298,36.535629
山西省,长治市,平顺县,115927,113.435859,36.200370
山西省,长治市,黎城县,134186,113.387025,36.502258
山西省,长治市,壶关县,240109,113.206836,36.115645
山西省,长治市,长子县,298690,112.877922,36.122258
山西省,长治市,武乡县,155386,112.863960,36.837865
山西省,长治市,沁县,138578,112.699176,36.756152
山西省,长治市,沁源县,149975,112.337726,36.499989
山西省,晋城市,城区,574665,112.853452,35.502480
山西省,晋城市,沁水县,196528,112.186726,35.690119
山西省,晋城市,阳城县,350474,112.414798,35.486275
山西省,晋城市,陵川县,204825,113.280755,35.775239
山西省,晋城市,泽州县,414999,112.922243,35.507061
山西省,晋城市,高平市,453054,112.923798,35.798775
山西省,朔州市,朔城区,493331,112.432071,39.320196
山西省,朔州市,山西朔州经济开发区,71744,112.457771,39.348561
山西省,朔州市,朔城区（含山西朔州经济开发区）,565075,112.432071,39.320196
山西省,朔州市,平鲁区,148212,112.288270,39.512219
山西省,朔州市,山阴县,199505,112.816421,39.527445
山西省,朔州市,应县,243970,113.190952,39.554471
山西省,朔州市,右玉县,88212,112.466926,39.989198
山西省,朔州市,怀仁市,348470,113.133061,39.820522
山西省,晋中市,榆次区,904518,112.707564,37.698637
山西省,晋中市,太谷区,322099,112.551297,37.421392
山西省,晋中市,榆社县,111714,112.975378,37.071209
山西省,晋中市,左权县,144519,113.379412,37.082746
山西省,晋中市,和顺县,121617,113.570295,37.329696
山西省,晋中市,昔阳县,190861,113.707151,37.612577
山西省,晋中市,寿阳县,200352,113.176373,37.895191
山西省,晋中市,祁县,254535,112.335226,37.358425
山西省,晋中市,平遥县,450697,112.175825,37.189614
山西省,晋中市,灵石县,246491,111.778692,36.848085
山西省,晋中市,介休市,432095,111.916451,37.027538
山西省,运城市,盐湖区,928334,110.998135,35.015549
山西省,运城市,临猗县,482559,110.774553,35.144406
山西省,运城市,万荣县,361956,110.837957,35.415805
山西省,运城市,闻喜县,355269,111.224485,35.356664
山西省,运城市,稷山县,316114,110.983273,35.604515
山西省,运城市,新绛县,282230,111.224767,35.616007
山西省,运城市,绛县,226871,111.568849,35.491764
山西省,运城市,垣曲县,197772,111.670215,35.298297
山西省,运城市,夏县,287938,111.219946,35.140733
